Fig 3A,,,
Group,Bin_name_1,Bin_name_2,average_r
O,Bin914,Bin539,0.71 
O,Bin914,Bin527,0.63 
O,Bin914,Bin521,0.72 
O,Bin914,Bin515,0.60 
O,Bin914,Bin465,0.70 
O,Bin914,Bin458,0.82 
O,Bin914,Bin433,0.62 
O,Bin914,Bin397,0.84 
O,Bin914,Bin386,0.55 
O,Bin914,Bin375,0.67 
O,Bin914,Bin313,0.64 
O,Bin914,Bin310,0.58 
O,Bin914,Bin278,0.79 
O,Bin914,Bin176,0.63 
O,Bin914,Bin65,0.52 
O,Bin406,Bin400,0.70 
O,Bin406,Bin390,0.73 
O,Bin406,Bin366,0.52 
O,Bin406,Bin333,0.69 
O,Bin406,Bin281,0.54 
O,Bin406,Bin280,0.67 
O,Bin406,Bin172,0.71 
O,Bin406,Bin118,0.86 
O,Bin406,Bin104,0.56 
O,Bin406,Bin68,0.62 
