Fig 3B,,,
Group,Bin_name_1,Bin_name_2,average_r
T,Bin1051,Bin12,0.68 
T,Bin103,Bin13,0.58 
T,Bin121,Bin13,0.94 
T,Bin500,Bin13,0.84 
T,Bin578,Bin13,0.93 
T,Bin712,Bin13,0.73 
T,Bin970,Bin13,0.71 
T,Bin986,Bin13,0.82 
T,Bin36,Bin14,0.58 
T,Bin73,Bin14,0.68 
T,Bin238,Bin16,0.71 
T,Bin457,Bin16,0.56 
T,Bin604,Bin16,0.62 
T,Bin775,Bin16,0.76 
T,Bin1003,Bin16,0.61 
T,Bin1060,Bin16,0.62 
T,Bin22,Bin18,0.62 
T,Bin39,Bin18,0.55 
T,Bin101,Bin18,0.66 
T,Bin103,Bin18,0.58 
T,Bin141,Bin18,0.64 
T,Bin206,Bin18,0.58 
T,Bin227,Bin18,0.81 
T,Bin309,Bin18,0.52 
T,Bin325,Bin18,0.68 
T,Bin341,Bin18,0.71 
T,Bin342,Bin18,0.70 
T,Bin364,Bin18,0.74 
T,Bin392,Bin18,0.69 
T,Bin413,Bin18,0.72 
T,Bin421,Bin18,0.58 
T,Bin454,Bin18,0.59 
T,Bin456,Bin18,0.63 
T,Bin479,Bin18,0.67 
T,Bin485,Bin18,0.63 
T,Bin487,Bin18,0.66 
T,Bin496,Bin18,0.60 
T,Bin562,Bin18,0.59 
T,Bin574,Bin18,0.61 
T,Bin575,Bin18,0.64 
T,Bin594,Bin18,0.67 
T,Bin599,Bin18,0.70 
T,Bin601,Bin18,0.66 
T,Bin684,Bin18,0.68 
T,Bin690,Bin18,0.65 
T,Bin702,Bin18,0.66 
T,Bin715,Bin18,0.81 
T,Bin726,Bin18,0.68 
T,Bin741,Bin18,0.73 
T,Bin743,Bin18,0.68 
T,Bin754,Bin18,0.72 
T,Bin784,Bin18,0.75 
T,Bin787,Bin18,0.61 
T,Bin796,Bin18,0.67 
T,Bin811,Bin18,0.64 
T,Bin837,Bin18,0.71 
T,Bin843,Bin18,0.74 
T,Bin886,Bin18,0.57 
T,Bin907,Bin18,0.68 
T,Bin909,Bin18,0.91 
T,Bin941,Bin18,0.79 
T,Bin946,Bin18,0.74 
T,Bin953,Bin18,0.63 
T,Bin980,Bin18,0.70 
T,Bin1026,Bin18,0.68 
T,Bin1079,Bin18,0.73 
T,Bin45,Bin19,0.54 
T,Bin46,Bin19,0.73 
T,Bin47,Bin19,0.63 
T,Bin65,Bin19,0.73 
T,Bin68,Bin19,0.83 
T,Bin93,Bin19,0.66 
T,Bin280,Bin19,0.73 
T,Bin289,Bin19,0.79 
T,Bin332,Bin19,0.67 
T,Bin390,Bin19,0.65 
T,Bin528,Bin19,0.77 
T,Bin583,Bin19,0.65 
T,Bin649,Bin19,0.75 
T,Bin775,Bin19,0.65 
T,Bin850,Bin19,0.75 
